Revision: 

Design Name:  DESIGN1.DSN

Cross Reference              May 29,2024      21:43:54,Page1

Item,Part,Reference,SchematicName,Sheet,Library
____________________________________________________________________________

1,4001,U1A,SCHEMATIC1/PAGE1,0,C:\USERS\NASTA\ONEDRIVE - UNIVERSITATEA POLITEHNICA BUCURESTI\DESKTOP\PROIECT_TIE_FINAL_V2\MAGDA\SCH\LIBRABRY_PORTI.OLB,
2,4001,U1B,SCHEMATIC1/PAGE1,0,C:\USERS\NASTA\ONEDRIVE - UNIVERSITATEA POLITEHNICA BUCURESTI\DESKTOP\PROIECT_TIE_FINAL_V2\MAGDA\SCH\LIBRABRY_PORTI.OLB,
3,4001,U1C,SCHEMATIC1/PAGE1,0,C:\USERS\NASTA\ONEDRIVE - UNIVERSITATEA POLITEHNICA BUCURESTI\DESKTOP\PROIECT_TIE_FINAL_V2\MAGDA\SCH\LIBRABRY_PORTI.OLB,
4,4001,U1D,SCHEMATIC1/PAGE1,0,C:\USERS\NASTA\ONEDRIVE - UNIVERSITATEA POLITEHNICA BUCURESTI\DESKTOP\PROIECT_TIE_FINAL_V2\MAGDA\SCH\LIBRABRY_PORTI.OLB,
5,4013,U3,SCHEMATIC1/PAGE1,0,C:\USERS\NASTA\ONEDRIVE - UNIVERSITATEA POLITEHNICA BUCURESTI\DESKTOP\PROIECT_TIE_FINAL_V2\MAGDA\SCH\DESIGN1.DSN,
6,4017,U4,SCHEMATIC1/PAGE1,0,C:\USERS\NASTA\ONEDRIVE - UNIVERSITATEA POLITEHNICA BUCURESTI\DESKTOP\PROIECT_TIE_FINAL_V2\MAGDA\SCH\DESIGN1.DSN,
7,4027,U2,SCHEMATIC1/PAGE1,0,C:\USERS\NASTA\ONEDRIVE - UNIVERSITATEA POLITEHNICA BUCURESTI\DESKTOP\PROIECT_TIE_FINAL_V2\MAGDA\SCH\DESIGN1.DSN,
8,CON2X1,J1,SCHEMATIC1/PAGE1,0,D:\SWAPNIL\LIBRARY\SYMBOL\CONNECTOR.OLB,
9,CON2X1,J2,SCHEMATIC1/PAGE1,0,D:\SWAPNIL\LIBRARY\SYMBOL\CONNECTOR.OLB,
10,CON2X1,J3,SCHEMATIC1/PAGE1,0,D:\SWAPNIL\LIBRARY\SYMBOL\CONNECTOR.OLB,
